time,symbol,assettype,assetmaintype,cusip,assetsubtype,description,bidprice,bidsize,bidid,askprice,asksize,askid,lastprice,lastsize,lastid,openprice,highprice,lowprice,bidtick,closeprice,netchange,totalvolume,quotetimeinlong,tradetimeinlong,mark,exchange,exchangename,marginable,shortable,volatility,digits,nav,peratio,divamount,divyield,divdate,securitystatus,regularmarketlastprice,regularmarketlastsize,regularmarketnetchange,regularmarkettradetimeinlong,netpercentchangeindouble,markchangeindouble,markpercentchangeindouble,regularmarketpercentchangeindouble,delayed,fiftytwowkhigh,fiftytwowklow
2020-06-19 20:55:44,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,347.6,300,P,348.09,200,M,347.85,0,K,354.635,356.56,345.15, ,351.73,-3.88,65265615,1592600143318,1592600144656,348.09,q,NASD,True,True,0.0152,4,0.0,27.5627,3.28,0.93,2020-05-08 00:00:00.000,Normal,349.72,16,-2.01,1592596801917,-1.1031,-3.64,-1.0349,-0.5715,False,356.56,192.58
2020-06-18 20:45:43,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,351.3,100,P,351.68,300,P,351.65,0,D,351.41,353.45,349.22, ,351.59,0.06,23615497,1592513135464,1592513133320,351.68,q,NASD,True,True,0.0141,4,0.0,27.6011,3.28,0.93,2020-05-08 00:00:00.000,Normal,351.73,14063,0.14,1592510400351,0.0171,0.09,0.0256,0.0398,False,355.4,192.58
2020-06-18 13:30:44,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,351.99,100,Q,352.13,100,Z,352.075,500,D,351.41,352.26,351.37, ,351.59,0.485,751414,1592487044961,1592487044796,352.075,q,NASD,True,True,0.0531,4,0.0,27.6011,3.28,0.93,2020-05-08 00:00:00.000,Normal,352.075,5,0.485,1592487044796,0.1379,0.485,0.1379,0.1379,False,355.4,192.58
2020-06-17 14:15:44,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,353.85,100,Q,353.9,100,Q,353.87,100,Q,355.15,355.4,352.82, ,352.08,1.79,7095446,1592403344735,1592403344618,353.87,q,NASD,True,True,0.0214,4,0.0,26.8885,3.28,0.93,2020-05-08 00:00:00.000,Normal,353.87,1,1.79,1592403344618,0.5084,1.79,0.5084,0.5084,False,355.4,192.17
2020-06-16 20:45:44,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,352.0,1000,P,352.1,100,K,352.08,0,K,351.46,353.2,344.72, ,342.99,9.09,41221815,1592340340868,1592340334641,352.08,q,NASD,True,True,0.0177,4,0.0,26.56,3.28,0.96,2020-05-08 00:00:00.000,Normal,352.08,20138,9.09,1592337600461,2.6502,9.09,2.6502,2.6502,False,354.77,192.17
2020-06-17 17:40:44,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,354.81,100,Z,354.84,200,K,354.81,100,Q,355.15,355.4,352.33, ,352.08,2.73,17475921,1592415644460,1592415644459,354.81,q,NASD,True,True,0.0147,4,0.0,26.8885,3.28,0.93,2020-05-08 00:00:00.000,Normal,354.81,1,2.73,1592415644459,0.7754,2.73,0.7754,0.7754,False,355.4,192.17
2020-06-18 20:15:44,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,351.43,100,P,351.6,200,K,351.5,0,P,351.41,353.45,349.22, ,351.59,-0.09,23598455,1592511302546,1592511336958,351.6,q,NASD,True,True,0.0138,4,0.0,27.6011,3.28,0.93,2020-05-08 00:00:00.000,Normal,351.73,14063,0.14,1592510400351,-0.0256,0.01,0.0028,0.0398,False,355.4,192.58
2020-06-19 19:30:44,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,347.83,200,Z,347.85,200,Q,347.84,100,P,354.635,356.56,345.15, ,351.73,-3.89,39910332,1592595045235,1592595045172,347.84,q,NASD,True,True,0.0086,4,0.0,27.5627,3.28,0.93,2020-05-08 00:00:00.000,Normal,347.84,1,-3.89,1592595045172,-1.106,-3.89,-1.106,-1.106,False,356.56,192.58
2020-06-18 20:55:44,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,351.63,100,P,351.8,700,P,351.63,0,D,351.41,353.45,349.22, ,351.59,0.04,23861127,1592513726127,1592513733695,351.73,q,NASD,True,True,0.0142,4,0.0,27.6011,3.28,0.93,2020-05-08 00:00:00.000,Normal,351.73,14063,0.14,1592510400351,0.0114,0.14,0.0398,0.0398,False,355.4,192.58
2020-06-19 20:10:44,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,348.5,100,Z,348.8,300,Q,348.6,0,Q,354.635,356.56,345.15, ,351.73,-3.13,62820004,1592597439481,1592597440823,348.8,q,NASD,True,True,0.0092,4,0.0,27.5627,3.28,0.93,2020-05-08 00:00:00.000,Normal,349.72,16,-2.01,1592596801917,-0.8899,-2.93,-0.833,-0.5715,False,356.56,192.58
2020-06-18 13:40:43,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,351.18,300,Q,351.25,100,Q,351.19,100,D,351.41,353.03,350.86, ,351.59,-0.4,2117029,1592487644007,1592487644006,351.19,q,NASD,True,True,0.039,4,0.0,27.6011,3.28,0.93,2020-05-08 00:00:00.000,Normal,351.19,1,-0.4,1592487644006,-0.1138,-0.4,-0.1138,-0.1138,False,355.4,192.58
2020-06-19 20:35:44,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,347.68,400,P,347.9,200,Q,347.8,0,Q,354.635,356.56,345.15, ,351.73,-3.93,64626643,1592598940294,1592598943278,347.9,q,NASD,True,True,0.0119,4,0.0,27.5627,3.28,0.93,2020-05-08 00:00:00.000,Normal,349.72,16,-2.01,1592596801917,-1.1173,-3.83,-1.0889,-0.5715,False,356.56,192.58
2020-06-18 14:10:44,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,352.4,300,P,352.42,200,P,352.4,100,P,351.41,353.03,350.86, ,351.59,0.81,4676770,1592489444166,1592489443921,352.4,q,NASD,True,True,0.0277,4,0.0,27.6011,3.28,0.93,2020-05-08 00:00:00.000,Normal,352.4,1,0.81,1592489443921,0.2304,0.81,0.2304,0.2304,False,355.4,192.58
2020-06-16 15:35:44,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,349.95,100,Q,350.0,400,K,349.96,100,D,351.46,353.02,344.72, ,342.99,6.97,18257245,1592321745107,1592321745048,349.96,q,NASD,True,True,0.0242,4,0.0,26.56,3.28,0.96,2020-05-08 00:00:00.000,Normal,349.96,1,6.97,1592321745048,2.0321,6.97,2.0321,2.0321,False,354.77,192.17
2020-06-19 16:50:44,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,350.73,100,J,350.75,400,Q,350.75,100,Q,354.635,356.56,348.12, ,351.73,-0.98,24032995,1592585444451,1592585444135,350.75,q,NASD,True,True,0.0109,4,0.0,27.5627,3.28,0.93,2020-05-08 00:00:00.000,Normal,350.75,1,-0.98,1592585444135,-0.2786,-0.98,-0.2786,-0.2786,False,356.56,192.58
2020-06-18 17:35:44,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,351.83,500,Q,351.84,100,P,351.84,200,D,351.41,353.45,350.32, ,351.59,0.2498,13986065,1592501744569,1592501744514,351.84,q,NASD,True,True,0.0171,4,0.0,27.6011,3.28,0.93,2020-05-08 00:00:00.000,Normal,351.84,2,0.2498,1592501744514,0.071,0.2498,0.071,0.071,False,355.4,192.58
2020-06-16 17:40:44,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,351.47,100,Q,351.49,200,Z,351.46,200,D,351.46,353.02,344.72, ,342.99,8.47,26453665,1592329244775,1592329244228,351.47,q,NASD,True,True,0.0204,4,0.0,26.56,3.28,0.96,2020-05-08 00:00:00.000,Normal,351.46,2,8.47,1592329244228,2.4695,8.48,2.4724,2.4695,False,354.77,192.17
2020-06-19 13:15:43,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,355.65,200,M,355.81,100,P,355.73,0,K,0.0,0.0,0.0, ,351.73,4.0,444279,1592572541655,1592572543526,355.65,q,NASD,True,True,0.0299,4,0.0,27.5627,3.28,0.93,2020-05-08 00:00:00.000,Normal,351.73,14063,0.0,1592510400351,1.1372,3.92,1.1145,0.0,False,355.4,192.58
2020-06-18 18:30:44,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,350.77,100,P,350.8,100,P,350.77,100,Q,351.41,353.45,350.32, ,351.59,-0.82,15902566,1592505045138,1592505044667,350.77,q,NASD,True,True,0.0161,4,0.0,27.6011,3.28,0.93,2020-05-08 00:00:00.000,Normal,350.77,1,-0.82,1592505044667,-0.2332,-0.82,-0.2332,-0.2332,False,355.4,192.58
2020-06-17 13:45:44,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,354.96,100,Q,355.0,2600,Q,354.98,100,Z,355.15,355.4,353.16, ,352.08,2.9,3694237,1592401544738,1592401544738,354.98,q,NASD,True,True,0.0281,4,0.0,26.8885,3.28,0.93,2020-05-08 00:00:00.000,Normal,354.98,1,2.9,1592401544738,0.8237,2.9,0.8237,0.8237,False,355.4,192.17
2020-06-17 13:15:44,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,355.53,100,Q,355.68,1400,Q,355.64,0,Q,0.0,0.0,0.0, ,352.08,3.56,465462,1592399744590,1592399742722,355.53,q,NASD,True,True,0.0477,4,0.0,26.8885,3.28,0.93,2020-05-08 00:00:00.000,Normal,352.08,20138,0.0,1592337600461,1.0111,3.45,0.9799,0.0,False,354.77,192.17
2020-06-15 22:49:22,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,343.83,900,P,343.92,200,P,343.92,0,D,333.25,345.68,332.58, ,338.8,5.12,34655721,1592261220551,1592261343730,343.83,q,NASD,True,True,0.0236,4,0.0,26.56,3.28,0.97,2020-05-08 00:00:00.000,Normal,342.99,16515,4.19,1592251200278,1.5112,5.03,1.4847,1.2367,False,354.77,190.3
2020-06-17 19:50:44,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,352.21,100,C,352.27,100,Q,352.241,200,D,355.15,355.4,351.33, ,352.08,0.161,24512917,1592423444933,1592423444725,352.241,q,NASD,True,True,0.0128,4,0.0,26.8885,3.28,0.93,2020-05-08 00:00:00.000,Normal,352.241,2,0.161,1592423444725,0.0457,0.161,0.0457,0.0457,False,355.4,192.17
2020-06-17 17:05:44,AAPL,EQUITY,EQUITY,037833100,NULL,Apple Inc. - Common Stock,354.83,100,J,354.85,200,Q,354.84,100,D,355.15,355.4,352.33, ,352.08,2.76,16267567,1592413544596,1592413544553,354.84,q,NASD,True,True,0.0152,4,0.0,26.8885,3.28,0.93,2020-05-08 00:00:00.000,Normal,354.84,1,2.76,1592413544553,0.7839,2.76,0.7839,0.7839,False,355.4,192.17
